set_id,sent,pos,dict_text,wn-pos,PosScore,NegScore,SynsetTerms,Gloss
1,z,NN,password,n,0,0,word#9 watchword#2 password#1 parole#2 countersign#1,"a secret word or phrase known only to a restricted group; ""he forgot the password"""
2,z,PPO,me,n,0,0,pine_tree_state#1 me#1 maine#1,a state in New England
2,NULL,NN,ste,NULL,NULL,NULL,NULL,NULL
3,z,PPO,me,n,0,0,pine_tree_state#1 me#1 maine#1,a state in New England
3,NULL,NN,ste,NULL,NULL,NULL,NULL,NULL
4,z,PPO,me,n,0,0,pine_tree_state#1 me#1 maine#1,a state in New England
4,NULL,NN,ste,NULL,NULL,NULL,NULL,NULL
5,NULL,NP,prog,NULL,NULL,NULL,NULL,NULL
6,p,HVZ,has,v,0.25,0,hold#4 have_got#1 have#1,"have or possess, either in a concrete or an abstract sense; ""She has $1,000 in the bank""; ""He has got two beautiful daughters""; ""She holds a Master's degree from Harvard"""
7,NULL,NNP,emilio,NULL,NULL,NULL,NULL,NULL
8,z,NN,holiday,n,0,0,vacation#1 holiday#1,"leisure time away from work devoted to rest or pleasure; ""we get two weeks of vacation every summer""; ""we took a short holiday in Puerto Rico"""
9,NULL,NNP,caitlin,NULL,NULL,NULL,NULL,NULL
10,NULL,VB,pur,NULL,NULL,NULL,NULL,NULL
10,NULL,NNP,blanca,NULL,NULL,NULL,NULL,NULL
11,z,IN,at,n,0,0,atomic_number_85#1 at#1 astatine#1,a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium
11,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
12,z,NN,irish,n,0,0,irish_people#1 irish#1,people of Ireland or of Irish extraction
12,p,VBD,rid,v,0.5,0,rid#1 free#2 disembarrass#1,"relieve from; ""Rid the house of pests"""
13,p,NN,thug,n,0.125,0,toughie#1 tough#2 thug#1 strong-armer#1 punk#1 hoodlum#1 hood#1 goon#2,an aggressive and violent young criminal
14,NULL,IN-HL,to,NULL,NULL,NULL,NULL,NULL
14,z,UH,oh,n,0,0,ohio#1 oh#1 buckeye_state#1,a midwestern state in north central United States in the Great Lakes region
14,NULL,VB,ott,NULL,NULL,NULL,NULL,NULL
15,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
16,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
16,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
16,z,NNP,erin,n,0,0,erin#1,an early name of Ireland that is now used in poetry
17,NULL,KK,aflow,NULL,NULL,NULL,NULL,NULL
18,z,VBN,torn,v,0,0,tear#1 snap#2 rupture#1 bust#3,"separate or cause to separate abruptly; ""The rope snapped""; ""tear the paper"""
19,z,NNP,tobey,n,0,0,tobey#1 mark_tobey#1,United States abstract painter influenced by oriental calligraphy (1890-1976)
20,p,JJR,better,a,0.875,0,better#1,"(comparative of `good') superior to another (of the same class or set or kind) in excellence or quality or desirability or suitability; more highly skilled than another; ""You're a better man than I am, Gunga Din""; ""a better coat""; ""a better type of car""; ""a suit with a better fit""; ""a better chance of success""; ""produced a better mousetrap""; ""she's better in math than in history"""
20,z,RP,off,r,0,0,off#1 forth#1 away#1,"from a particular thing or place or position (`forth' is obsolete); ""ran away from the lion""; ""wanted to get away from there""; ""sent the children away to boarding school""; ""the teacher waved the children away from the dead animal""; ""went off to school""; ""they drove off""; ""go forth and preach"""
21,p,NN,cheer,n,0.125,0,cheer#1,a cry or shout of approval
22,z,NNS,cats,n,0,0,true_cat#1 cat#1,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
23,z,NN,chuck,n,0,0,grub#1 eats#1 chuck#1 chow#2,informal terms for a meal
24,z,MD,may,n,0,0,may#1,the month following April and preceding June
25,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
26,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
26,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
26,NULL,PPSS,you,NULL,NULL,NULL,NULL,NULL
27,NULL,NNP,antonio,NULL,NULL,NULL,NULL,NULL
28,NULL,NN,arellano,NULL,NULL,NULL,NULL,NULL
29,z,NP,Okinawa,n,0,0,okinawa#1,the largest island of the central Ryukyu Islands
30,p,NN-HL,test,n,0.125,0,tryout#1 trial_run#1 trial#2 test#1,"trying something to find out about it; ""a sample for ten days free trial""; ""a trial of progesterone failed to relieve the pain"""
31,z,NN,pimp,n,0,0,procurer#1 ponce#2 pimp#1 panderer#1 pander#1 pandar#1 fancy_man#1,someone who procures customers for whores (in England they call a pimp a ponce)
31,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
32,z,NN,princess,n,0,0,princess#1,a female member of a royal family other than the queen (especially the daughter of a sovereign)
33,NULL,NNP,jennie,NULL,NULL,NULL,NULL,NULL
34,p,NN,punk,n,0.125,0,toughie#1 tough#2 thug#1 strong-armer#1 punk#1 hoodlum#1 hood#1 goon#2,an aggressive and violent young criminal
34,z,NN,rocker,n,0,0,rocker#1,an attendant who rocks a child in a cradle
35,NULL,VB,ait,NULL,NULL,NULL,NULL,NULL
36,n,NN,maxima,n,0,0.25,upper_limit#1 maximum#1,the largest possible quantity
37,NULL,JJ,loco,NULL,NULL,NULL,NULL,NULL
38,NULL,NNP,charlie,NULL,NULL,NULL,NULL,NULL
39,z,NNP,benny,n,0,0,sesamum_indicum#1 sesame#1 benny#1 benni#1 benne#1,East Indian annual erect herb; source of sesame seed or benniseed and sesame oil
40,z,VBG,marketing,v,0,0,market#1,"engage in the commercial promotion, sale, or distribution of; ""The company is marketing its new line of beauty products"""
41,z,NN,doggy,n,0,0,pooch#1 doggy#1 doggie#1 bow-wow#2 barker#2,informal terms for dogs
41,z,NN,dog,n,0,0,domestic_dog#1 dog#1 canis_familiaris#1,"a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"""
42,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
43,NULL,NNP,jake,NULL,NULL,NULL,NULL,NULL
43,NULL,NP,hance,NULL,NULL,NULL,NULL,NULL
44,n,VB,wish,v,0.125,0.375,wish#1,"hope for; have a wish; ""I wish I could go home now"""
45,NULL,NNP,justin,NULL,NULL,NULL,NULL,NULL
46,n,NN,baby,n,0,0.375,infant#1 baby#1 babe#1,"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby began to cry again""; ""she held the baby in her arms""; ""it sounds simple, but when you have your own baby it is all so different"""
46,z,NNP,tara,n,0,0,tara#1,a village in eastern Ireland (northwest of Dublin); seat of Irish kings until 6th century
47,z,NN,kiss,n,0,0,osculation#2 kiss#1 buss#1,the act of caressing with the lips (or an instance thereof)
48,NULL,CS,if,NULL,NULL,NULL,NULL,NULL
49,z,NN,outlook,n,0,0,outlook#1 mindset#1 mind-set#1 mentality#1,a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
50,NULL,JJ,amber,NULL,NULL,NULL,NULL,NULL
50,z,NN,ono,n,0,0,yoko_ono#1 ono#1,United States musician (born in Japan) who married John Lennon and collaborated with him on recordings (born in 1933)
51,NULL,NNP,gloria,NULL,NULL,NULL,NULL,NULL
51,NULL,NNP,ann,NULL,NULL,NULL,NULL,NULL
52,NULL,JJ,yellow,NULL,NULL,NULL,NULL,NULL
53,NULL,NNP,lil,NULL,NULL,NULL,NULL,NULL
53,z,NN,foot,n,0,0,pes#1 human_foot#1 foot#1,"the part of the leg of a human being below the ankle joint; ""his bare feet projected from his trousers""; ""armored from head to foot"""
54,z,VBN,seen,v,0,0,see#1,"perceive by sight or have the power to perceive by sight; ""You have to be a good observer to see all the details""; ""Can you see the bird in that tree?""; ""He is blind--he cannot see"""
55,NULL,NN,mello,NULL,NULL,NULL,NULL,NULL
